WKT,id,regname,rajon
"MULTIPOLYGON (((23.202339102 42.634630674,23.202439582 42.634628942,23.202496731 42.634663438,23.202533408 42.634685632,23.202587231 42.634685981,23.202615269 42.634686156,23.202667127 42.634692367,23.202686359 42.634694675,23.202723369 42.634699141,23.202750449 42.634698409,23.202771243 42.634697367,23.20282674 42.634693781,23.202894397 42.634667545,23.20291479 42.634655608,23.202944719 42.634636143,23.202958841 42.634626865,23.202967964 42.634612975,23.202995678 42.634569296,23.203001216 42.634553012,23.203009106 42.634529825,23.203021142 42.634494171,23.203036623 42.634432337,23.203094525 42.634370754,23.203147231 42.634319775,23.203211597 42.634271058,23.203229819 42.63425727,23.203248147 42.634245758,23.203397311 42.634152024,23.203425033 42.634139407,23.203488132 42.634112304,23.20345033 42.634052709,23.203433451 42.634026179,23.20341761 42.634015765,23.203352323 42.633972999,23.203313782 42.633953489,23.203259626 42.633926106,23.20317226 42.633905404,23.203136743 42.633898992,23.203114177 42.633894918,23.203077413 42.633905751,23.202974834 42.63393743,23.202914529 42.633952656,23.202761887 42.633991264,23.202706246 42.634004137,23.202608798 42.634026798,23.202488304 42.634039644,23.202362657 42.634054884,23.202291636 42.634077032,23.202261674 42.634086409,23.202194346 42.634103416,23.202158689 42.634112477,23.202113738 42.63411399,23.20206763 42.634115496,23.201997009 42.634123234,23.202004357 42.63408246,23.202004426 42.6340388,23.201999425 42.634000776,23.201992028 42.633974897,23.201979001 42.633929338,23.202054607 42.633912862,23.202229996 42.633874461,23.202367207 42.633841476,23.202269818 42.633476305,23.202380369 42.633430532,23.202428435 42.633323021,23.202488076 42.633215771,23.202639369 42.633244819,23.202716291 42.633159293,23.202779296 42.633017589,23.202797085 42.632989716,23.20280994 42.632899334,23.202766452 42.632877517,23.202987123 42.632724034,23.203122021 42.632631197,23.203353121 42.632576414,23.203379782 42.632620716,23.203773067 42.632616703,23.203783185 42.63262843,23.204120414 42.632572563,23.204157995 42.632560401,23.204291485 42.63276256,23.20431022 42.632753392,23.204661067 42.632581802,23.204667986 42.632450424,23.204670284 42.632406327,23.204583383 42.632296542,23.204390279 42.632055107,23.204376771 42.632036673,23.20438426 42.632014463,23.204391395 42.631990296,23.204392572 42.631964919,23.204386696 42.631937962,23.204369774 42.631911205,23.204143367 42.631630564,23.204098996 42.631591818,23.204041559 42.631554781,23.203990411 42.631531289,23.203912915 42.631500488,23.203778848 42.631447642,23.203983868 42.631187952,23.203838788 42.630979617,23.203696114 42.630774693,23.203703725 42.630617299,23.203709213 42.630496846,23.203416794 42.630049802,23.203367019 42.62997038,23.203493007 42.629991913,23.203571053 42.630005999,23.203708236 42.630044822,23.203728109 42.63005041,23.204168023 42.630174646,23.204326645 42.630202873,23.204614158 42.63021579,23.204850943 42.630252568,23.205110892 42.630316478,23.205349245 42.630344874,23.205531701 42.630337988,23.20605758 42.630358933,23.206432954 42.630444363,23.206639349 42.630444097,23.206495733 42.630253603,23.206214089 42.629958275,23.205929097 42.629773292,23.205292006 42.629091862,23.20525059 42.629092573,23.204304575 42.629072038,23.20425937 42.62875286,23.20512811 42.628308687,23.205109494 42.628286772,23.20503077 42.628120815,23.204620912 42.628094228,23.204154661 42.628042756,23.204163638 42.627979366,23.204229223 42.627864144,23.204369132 42.627665897,23.204439362 42.627549717,23.204450013 42.627534426,23.204472327 42.627504035,23.204506682 42.627455608,23.204595094 42.627468463,23.204840154 42.627503172,23.204740828 42.627201356,23.204726594 42.627160657,23.204705891 42.627101177,23.204671268 42.627002654,23.20178014 42.627088077,23.201635984 42.626891998,23.201616727 42.626634404,23.201601289 42.626411195,23.201599231 42.626240343,23.201743195 42.6262475,23.201748109 42.626053633,23.201850833 42.626104549,23.202054913 42.626141346,23.202084052 42.626007473,23.201895595 42.625978381,23.201831 42.625977391,23.201368056 42.625976837,23.201359349 42.625743383,23.201358347 42.625608108,23.201243292 42.625579337,23.201191358 42.625568337,23.200866122 42.625486633,23.200615186 42.625429488,23.200575544 42.625420517,23.200569164 42.625435065,23.200480468 42.625416791,23.200494773 42.625175094,23.200515227 42.62514832,23.200514823 42.625127973,23.200508635 42.624815107,23.200517529 42.624681757,23.200526155 42.624550567,23.200528143 42.624509351,23.200532855 42.624395596,23.200548841 42.623988965,23.20060226 42.623965241,23.200579096 42.62392727,23.20054528 42.623888281,23.200530444 42.623871117,23.200540749 42.623713383,23.200561133 42.623402591,23.200563764 42.623362101,23.200567949 42.62323985,23.200459925 42.623150908,23.199962185 42.622771397,23.199890119 42.622724908,23.199832199 42.622689847,23.199711288 42.622794608,23.199704972 42.622809013,23.199469152 42.62264766,23.199374924 42.622722922,23.199308143 42.622778653,23.199149276 42.622914915,23.199005352 42.623033678,23.197837206 42.623201903,23.197672048 42.622865888,23.197620981 42.622798824,23.197575017 42.622761594,23.197527734 42.622732097,23.197472342 42.622707674,23.197411613 42.622690595,23.197346411 42.622679397,23.197292212 42.622676943,23.197246952 42.622679028,23.197175567 42.622524116,23.197164448 42.622507115,23.197150507 42.622491713,23.197132785 42.622476376,23.197108963 42.622461444,23.197088033 42.622451719,23.19706009 42.622441928,23.197023219 42.622435271,23.196999005 42.62243338,23.196964762 42.622435089,23.196946179 42.622437171,23.19692209 42.622443123,23.196905247 42.622448382,23.196830859 42.6224189,23.196522365 42.622217884,23.196398754 42.622136321,23.196316012 42.622139663,23.196212953 42.622164173,23.196105292 42.622158017,23.196029276 42.622179352,23.195771069 42.622061745,23.195711449 42.622039328,23.195691206 42.622063525,23.195666154 42.622087475,23.195635523 42.622109136,23.195603728 42.622126646,23.195565216 42.622142395,23.195525724 42.622154456,23.195486876 42.622160915,23.19544514 42.622164364,23.195401046 42.622163407,23.195357714 42.62215769,23.195315431 42.622147131,23.195277459 42.622133001,23.195247782 42.62211848,23.195217206 42.622098101,23.195186456 42.622072139,23.19517138 42.622054988,23.195185904 42.622047655,23.194804604 42.621595573,23.194755755 42.621541812,23.194688328 42.621479399,23.194613491 42.621421774,23.194531871 42.621369411,23.194444143 42.621322749,23.194351033 42.621282171,23.194253311 42.621248014,23.194172959 42.621225653,23.194090159 42.621204802,23.193969156 42.621174964,23.193157675 42.620950373,23.193088987 42.620934407,23.193009502 42.62092307,23.192928749 42.620918893,23.192847902 42.620921934,23.192803443 42.620926724,23.192471979 42.620970447,23.192344292 42.620983369,23.192224143 42.620987956,23.19213476 42.620986673,23.191861555 42.620977345,23.191796072 42.620973684,23.191770847 42.620970739,23.191697168 42.620962135,23.19160027 42.620943484,23.191506316 42.620917907,23.191416209 42.620885651,23.191330817 42.620847029,23.19125096 42.620802411,23.190890613 42.62056254,23.190713429 42.620356422,23.190645448 42.620275967,23.190614636 42.620268817,23.19057159 42.620260861,23.190399272 42.620220577,23.190357712 42.620210742,23.190303212 42.6201992,23.190269235 42.620190686,23.190231137 42.620180605,23.189468476 42.620004633,23.189228561 42.6199508,23.189172603 42.619938117,23.188854342 42.619865207,23.188796853 42.619853142,23.18868873 42.619836233,23.188598065 42.619825823,23.188547671 42.619823244,23.18846854 42.619823857,23.18839039 42.61982639,23.18829133 42.619831901,23.18827843 42.619832214,23.188033005 42.619850709,23.18770122 42.619870428,23.187642087 42.61987514,23.187604401 42.619880583,23.187561777 42.619880946,23.187443579 42.619878309,23.18737828 42.619885048,23.18728834 42.619902775,23.18720756 42.619890951,23.187147893 42.619899674,23.187095167 42.619919861,23.187027122 42.619941074,23.18696649 42.619963961,23.18691434 42.619990596,23.186872504 42.620011636,23.186791044 42.620051928,23.186736921 42.620089803,23.186640358 42.620157444,23.186570601 42.620225906,23.186499826 42.620278876,23.186441031 42.620347866,23.186320961 42.620442437,23.186215086 42.620569967,23.186202967 42.620649009,23.186164189 42.620781515,23.186147037 42.620881857,23.186142652 42.62103162,23.186101832 42.621161862,23.186080615 42.621303043,23.186061691 42.621436681,23.186049784 42.621518065,23.186046688 42.621662437,23.186052483 42.621779145,23.186040539 42.621938398,23.186006876 42.622052397,23.185979243 42.622152663,23.185982308 42.622254318,23.185972981 42.622362277,23.185956347 42.622469825,23.185979318 42.622484301,23.185911392 42.622599136,23.185835992 42.62272634,23.185825282 42.62274382,23.185860949 42.622747448,23.185807715 42.622832996,23.185976208 42.622863988,23.18631688 42.622950303,23.186522856 42.623023086,23.186643158 42.623065593,23.188198378 42.62368911,23.188410049 42.623769196,23.188597747 42.623865659,23.188695822 42.623916061,23.188972066 42.624064567,23.189175942 42.624191408,23.189388724 42.624336495,23.189604164 42.624492852,23.189804534 42.624664857,23.189943161 42.624803747,23.19009098 42.624957918,23.190205571 42.62510816,23.190387632 42.625366996,23.19051874 42.625588112,23.190615119 42.625893153,23.190634573 42.625953604,23.190679085 42.626131349,23.190705171 42.626239527,23.190709049 42.62625561,23.190714357 42.626278782,23.190735302 42.626478506,23.190741159 42.62665715,23.190717414 42.626796515,23.19070874 42.62691114,23.190677448 42.627040189,23.190637595 42.62718079,23.190583078 42.627333622,23.1905003 42.627550708,23.190419635 42.62772712,23.189426842 42.63000186,23.189253845 42.630165297,23.189265348 42.630124329,23.189228779 42.630184859,23.189222879 42.630207742,23.189187275 42.630347311,23.189150598 42.630559669,23.189125759 42.630689034,23.189112243 42.630828831,23.18910258 42.630972435,23.189101766 42.631166965,23.189112016 42.631279024,23.189119488 42.631361085,23.189137833 42.631441244,23.189157591 42.631525282,23.189264796 42.631917001,23.189298938 42.632001051,23.189334121 42.632098972,23.189427137 42.632268779,23.189538909 42.632477518,23.189657644 42.632638232,23.189733305 42.632735989,23.189873079 42.632900813,23.190003773 42.633032626,23.190145307 42.633155695,23.190295528 42.633276392,23.190519449 42.63343965,23.190741536 42.633574808,23.19081885 42.633613607,23.191251013 42.63374141,23.191312379 42.633770486,23.191440618 42.633828283,23.191564628 42.633883259,23.192323984 42.634171453,23.192278686 42.63424029,23.192696556 42.634390478,23.194238695 42.634944722,23.194916567 42.635246154,23.195183913 42.635393497,23.195304982 42.635458849,23.195377278 42.635502402,23.19543139 42.635540814,23.195462103 42.635567396,23.195642625 42.635738981,23.195688269 42.635785704,23.19573225 42.635834836,23.195798147 42.635908483,23.195849494 42.635965867,23.195900897 42.636028881,23.195909586 42.636040375,23.195945742 42.636089869,23.195995966 42.636162585,23.196141813 42.636374879,23.196156786 42.636396002,23.196383742 42.636707508,23.196554441 42.636932117,23.196568542 42.636950367,23.196819679 42.63696799,23.197097361 42.636853458,23.197536374 42.636684679,23.197576639 42.636672806,23.197624057 42.636665768,23.197654381 42.636657148,23.197675235 42.636653602,23.19760687 42.636578227,23.197637232 42.636568357,23.198146471 42.636484956,23.198189318 42.636557002,23.198294607 42.636713204,23.198464523 42.636678473,23.19848895 42.636737067,23.198528311 42.636752915,23.198614932 42.636777016,23.198760405 42.636842126,23.198782034 42.636904932,23.198766458 42.636959646,23.198691911 42.637001886,23.198524714 42.637005129,23.198496642 42.637064527,23.198567828 42.63709428,23.19862045 42.63714569,23.198642032 42.637202733,23.198644894 42.637255236,23.198663427 42.637312349,23.198722385 42.637354529,23.198790431 42.637382102,23.19884442 42.637421997,23.198894009 42.637472305,23.198923437 42.637525983,23.198958777 42.637575021,23.199024602 42.637642726,23.198996437 42.637776031,23.198843191 42.637774961,23.198744537 42.637785974,23.198668699 42.637814432,23.198578155 42.637830002,23.19852096 42.637831043,23.198490593 42.637831551,23.19841435 42.637806264,23.198310667 42.637800318,23.198273915 42.637823466,23.19829823 42.637895562,23.198352306 42.637947657,23.198377946 42.637966672,23.198419098 42.63799705,23.198453793 42.638018825,23.198469325 42.638028572,23.198619954 42.638102878,23.198721709 42.638095353,23.198810545 42.638096376,23.198864768 42.638076801,23.198896902 42.638065202,23.199056458 42.637963782,23.199137748 42.637899715,23.199269084 42.637754978,23.199361036 42.637775584,23.199429469 42.637788865,23.199495064 42.6377888,23.199526779 42.637783894,23.199527172 42.637728421,23.199479486 42.637693368,23.199501965 42.637668923,23.199514817 42.637655419,23.199584297 42.637599489,23.19962111 42.637559207,23.199651455 42.63753512,23.199686163 42.63750907,23.199733738 42.637468959,23.199760953 42.637432395,23.199788021 42.637399802,23.199801646 42.637383396,23.199848548 42.637329261,23.199870805 42.637299998,23.199933836 42.637217669,23.199970757 42.6371482,23.199988479 42.637092292,23.200010091 42.637061488,23.200022173 42.637044767,23.200038092 42.637017424,23.200045978 42.637003507,23.200066295 42.636967636,23.200075283 42.636935796,23.200081874 42.636912471,23.200088886 42.636873632,23.200111227 42.636796011,23.200108353 42.636750929,23.200098161 42.636726785,23.199976832 42.636631684,23.199935695 42.636605932,23.199832162 42.636540937,23.199620384 42.636408017,23.199677882 42.636374256,23.199840474 42.636257834,23.199864176 42.636240929,23.199881804 42.636216296,23.199892113 42.636197171,23.199900876 42.636173938,23.199904893 42.636155422,23.199906483 42.636137022,23.199905706 42.636115729,23.199902118 42.636095989,23.199894767 42.636073192,23.199885643 42.636054285,23.199873364 42.636023121,23.199791236 42.635940005,23.199780587 42.635929525,23.199971896 42.635787795,23.200351887 42.635599779,23.200266838 42.635531827,23.200126393 42.635414116,23.200779715 42.635088336,23.200805458 42.635101163,23.200852308 42.635120395,23.200871896 42.635141405,23.200905554 42.635177478,23.200936147 42.635206768,23.200956258 42.63522823,23.201000928 42.635275801,23.201006313 42.63534384,23.201010927 42.635377605,23.201015219 42.635401853,23.201023634 42.635429838,23.201043524 42.635495852,23.201124809 42.635517718,23.201159709 42.635515005,23.201240158 42.63550709,23.201354464 42.635486645,23.201411058 42.635480744,23.201480715 42.635473565,23.201540922 42.635460426,23.201607189 42.635445763,23.20167662 42.635432553,23.201699157 42.635428267,23.201719045 42.635410424,23.201761149 42.635370993,23.201793036 42.635289338,23.201798944 42.63527371,23.201804712 42.635251573,23.201820734 42.635192402,23.201873658 42.635140614,23.201905294 42.635110758,23.201927075 42.635090537,23.201971212 42.635049788,23.202019115 42.634999605,23.202045944 42.634949753,23.201966075 42.634851273,23.201949309 42.634830791,23.20197271 42.634795025,23.201992456 42.634766895,23.202007431 42.634751529,23.202043485 42.63471901,23.202107609 42.634704772,23.202152987 42.63467412,23.202224633 42.634656189,23.202269119 42.634645086,23.20230173 42.634638335,23.202339102 42.634630674)))",1,с. Владая,Витоша
"MULTIPOLYGON (((23.37139221 42.835896304,23.371337109 42.835648542,23.371701678 42.835405187,23.371578336 42.835235226,23.371116692 42.834983936,23.371111596 42.834981163,23.370233581 42.834466827,23.370088782 42.834382003,23.36983787 42.834034998,23.369682391 42.833915327,23.369677668 42.833911692,23.369383098 42.833841014,23.3686094 42.833687794,23.368382745 42.833654692,23.367851928 42.833460405,23.367165816 42.833252764,23.366356199 42.832955134,23.366069387 42.832913651,23.365420747 42.83267792,23.364418139 42.832166342,23.364408619 42.832164354,23.364335737 42.832149131,23.363157936 42.831903114,23.362496266 42.831767168,23.362469677 42.831761705,23.361507592 42.83177697,23.360949921 42.831927581,23.36088155 42.831946115,23.360820064 42.831962783,23.360469396 42.83205784,23.36045455 42.832061865,23.36043284 42.832069559,23.359821142 42.832286329,23.359810584 42.83229007,23.359806461 42.832293128,23.359478167 42.832536584,23.359479118 42.832540478,23.3595509 42.832767606,23.359723797 42.832784376,23.359723669 42.832839938,23.359723339 42.832982721,23.359817655 42.832987202,23.360055516 42.832998503,23.360187788 42.833117039,23.360583059 42.833420591,23.360588274 42.83341874,23.360992153 42.833276138,23.36126168 42.833355616,23.361661343 42.833478715,23.362307082 42.833590866,23.362323113 42.833594153,23.363118809 42.833757277,23.363125607 42.83375893,23.365993396 42.834468877,23.366090672 42.834725943,23.366598303 42.835040878,23.366727948 42.835041234,23.367182172 42.834675196,23.367252647 42.834111614,23.36726911 42.834111379,23.367523546 42.834115927,23.367537278 42.834116172,23.367543838 42.834118942,23.367870716 42.834256979,23.367877672 42.834259916,23.367960524 42.834292824,23.368081476 42.834340864,23.36844833 42.834486571,23.368808814 42.834463573,23.36938907 42.834704193,23.369576779 42.834847466,23.369888977 42.835085755,23.370014746 42.835181749,23.370203677 42.835395569,23.370504001 42.835735456,23.370598457 42.835842353,23.37106399 42.835713718,23.371231146 42.836000735,23.371252448 42.836037316,23.37139221 42.835896304)))",8,м. Бранишко лозе,Нови Искър
"MULTIPOLYGON (((23.409348422 42.741491527,23.403665154 42.737877299,23.40309535 42.738342995,23.4030844 42.738351945,23.403050133 42.73837564,23.402631589 42.738511086,23.407836944 42.741818083,23.408127566 42.741658633,23.408634689 42.742023839,23.409348422 42.741491527)))",18,"с. Чепинци, м. Мерата",Нови Искър
"MULTIPOLYGON (((23.330108002 42.696255286,23.330076551 42.696190054,23.330035648 42.696132453,23.329340419 42.695153375,23.325914314 42.696530041,23.324983072 42.696876546,23.324161307 42.697255196,23.323526113 42.697421591,23.32436249 42.697655403,23.329881315 42.698226865,23.330171064 42.696675862,23.330165658 42.696470793,23.330136904 42.696351841,23.330108002 42.696255286)))",20,ЦГЧ Зона А - север,Средец / Оборище
"MULTIPOLYGON (((23.353722082 42.656442507,23.353701771 42.656186162,23.353340352 42.651624431,23.35325398 42.651629353,23.353068438 42.651640364,23.351970859 42.651705789,23.350473813 42.651794459,23.348004476 42.651937538,23.347286568 42.651979003,23.347542185 42.654364284,23.347599235 42.654445552,23.347709159 42.654602137,23.348015306 42.654576738,23.349121498 42.654484958,23.349125289 42.654510462,23.349426704 42.656538089,23.349460343 42.656764372,23.349680665 42.656747737,23.353722082 42.656442507)))",34,Парк Студентски,Студентска
"MULTIPOLYGON (((23.614467831 42.479225489,23.615402238 42.480324621,23.615733055 42.480247854,23.615920151 42.480304188,23.616456729 42.480465748,23.616481146 42.480482703,23.616744019 42.480666319,23.616752111 42.480671971,23.617312023 42.480505864,23.617442269 42.48046794,23.619023504 42.480007515,23.619075249 42.479992447,23.620200839 42.479680109,23.619789388 42.479084909,23.619598146 42.477816506,23.619598119 42.477813784,23.619604486 42.477793368,23.619936814 42.476727703,23.620055592 42.476386097,23.617682041 42.476718523,23.616221497 42.477576883,23.615242038 42.47832943,23.614467831 42.479225489)))",40,Манастир Св. Илия,Панчарево
