name,cand_number_norm,mir,pref_votes
МЕХМЕД ХАСАН ХАМИД,11,2,51
ХЮСЕИН АДЕМ ХАЛИЛ,12,2,78
СЕЗГИН ХАСАН КАДИЛ,13,2,70
БЕХЧЕТ РЕМЗИЕВ ЕМУРЛОВ,14,2,116
СЕВДИ СЕВИМ ЕМИН,15,2,17
АЙШЕ САЛИЕВА ИСУФОВА,16,2,49
ЮЗДЖАН ФАИК ЮМЕР,17,2,30
МЕХМЕД НЕДЖАТИН ХЮСЕИН,18,2,68
ИБРЯМ АЛИ ИБРЯМ,19,2,25
ВАСИЛ ИЛИЕВ МАЛЧЕВ,20,2,31
САНИЕ СЕЙФИЕВА БЕЛЕВА,21,2,204
АСЕН АСЕНОВ МИХАЛЕВ,22,2,11
НЕЖДЕТ МЕХМЕД ХЮСЕИН,23,2,222
ДЖЕМИЛЕ АХМЕД АХМЕД,24,2,30
МЮМЮН МЕХМЕДОВ ХАЛИЛОВ,25,2,25
АХМЕД СЮЛЕЙМАН МЕХМЕД,26,2,67
Джевдет Ибрям Чакъров,1,20,273
Гюнер Нихат Ахмед,2,20,600
Ашкън Ружди Салим,3,20,125
Мехмед Юмер Юмер,4,20,68
Невхис Лютфи Мустафа,5,20,148
Джанан Халил Феим,6,20,50
Левент Орхан Мемиш,7,20,150
Сузан Шефкет Акиф,8,20,136
ХАТИДЖЕ МЕХМЕДОВА ГЕОРГИЕВА,1,21,141
МУСТАФА ЮСЕИНОВ МУСТАФОВ,2,21,148
ВЛАДИМИР НИКОЛОВ МАРТИНОВ,3,21,100
МИТЬО СТОЯНОВ МИТЕВ,4,21,227
ВАЙДЕ НУФЕЛ МЕХМЕДОВА,5,21,18
ТАНЯ СТЕФКОВА ПЕТРОВА,6,21,7
ЮЗДЖАН ФЕДАЛОВ ЧЕРКЕЗОВ,7,21,24
ШЕНУР АЛИЕВА ДУРАЛИ,8,21,39
ВАЛЕНТИН КРЪСТЕВ ГЕОРГИЕВ,9,21,89
ПЛАМЕН РАШКОВ МАРИНОВ,10,21,11
Хайри Реджебов Садъков,1,22,920
Десислава Юлиянова Кокутева,2,22,423
Велко Велинов Хаджиев,3,22,408
Рина Захриева Пехливанова,4,22,303
Светозар Асенов Любомиров,5,22,119
Недка Василева Пакулева,6,22,83
Диляна Асенова Кашокова,7,22,109
Денис Минков Кедиков,8,22,230
Таня Александрова Иванова,1,23,107
Едиз-Ханиф Баязидов Саидов,2,23,46
Рахим Зафер Юмерефенди,3,23,31
Адем Джумхуров Чакалов,4,23,12
Росен Димитров Димитров,5,23,25
Стоян Георгиев Димитров,6,23,5
Васил Маринов Николов,7,23,18
Мюжгян Феимова Камберова,8,23,73
Глория-Никол Емилова Найденова,9,23,53
Димитър Божков Лилов,10,23,17
Алпер Гюнер Ахмедов,11,23,70
Ирина Симеонова Пенчева,12,23,38
Кристина Цветанова Александрова,13,23,16
Мария Любомирова Попова,14,23,14
Теодор Тодоров Тенев,15,23,15
Явор Кра��имиров Плявов,16,23,16
Димитър Иванов Митрев,17,23,7
Цветослав Владимиров Ленков,18,23,5
Тома Петров Гарчов,19,23,5
Стоян Генчев Стоянов,1,24,127
Васимир Иванов Радулов,2,24,129
Марио Георгиев Методиев,3,24,63
Росица Крумова Илчова,4,24,9
Ромина Свиленова Божинова,5,24,3
Васил Божидаров Стоев,6,24,5
Марсел Пламен Величков,7,24,39
Николай Димитров Карабатаков,8,24,6
Иван Стелиянов Филипов,9,24,17
Петър Иванов Петров,10,24,5
Велизар Любчев Райков,11,24,109
Нина Дончева Пананова-Йорданова,12,24,15
Ангел Николов Тошев,13,24,4
Любомир Асенов Дамянов,14,24,1
Емил Янков Аврамов,16,24,18
Людмила Иванова Тончева,17,24,7
Щерьо Щерев Щерев,18,24,54
Райна Иванова Иванова,1,25,60
Илхан Ахмет Кючюк,2,25,85
Сами Джевдет Чакъров,3,25,26
Росен Димитров Димитров,4,25,51
Ертен Белгинова Анисова,5,25,9
Танер Нихатов Кабилов,6,25,25
Сузана Цветанова Маринска,7,25,21
Халил Халил Адем,8,25,11
Танзер Юсеинов Юсеинов,9,25,62
Ави Цанкова Тахчиева,10,25,13
Мехмед Лятиф Расим,11,25,45
Иса Абедин Осман,12,25,11
Лютви Хюсни Хаджиалиш,13,25,22
Тома Петров Гарчов,14,25,10
Едиз-Ханиф Баязидов Саидов,15,25,28
Руслан Великов Коларов,1,26,355
Цветан Иванов Енчев,2,26,129
Александър Христов Методиев,3,26,2143
Борис Николаев Аргиров,4,26,41
Рамона Ангелова Илиева,5,26,13
Веселина Иванова Василева,6,26,11
Любомир Огнянов Апостолов,7,26,147
Йордан Василев Сугарев,8,26,26
Ваня Христова Мартинова,9,26,57
Анелия Недялкова Велева,10,26,233
Димитър Иванов Григоров,11,26,154
Халит Осман Сарач,12,26,51
Росица Дейстанова Стефанова,13,26,8
Яко Бобев Банчев,14,26,95
Сандо Стефанов Захариев,15,26,33
Халил ��еджепов Летифов,1,27,708
ТУНДЖАЙ РАМАДАН ЙОЗТЮРК,2,27,275
Шендоан Ремзи Халит,3,27,464
Николай Тонев Колев,4,27,1925
Юлия Емилова Кехайова,5,27,105
Орхан Кемалов Асанов,6,27,209
Дженал Ниази Топалова,7,27,197
Юзеир Али Кенан,8,27,137
Мехмед Неджми Зейнел,9,27,290
Васил Тодоров Василев,10,27,341
Кенан Шакир Саид,11,27,95
Доника Бончева Бойчева,12,27,162
СУАТ МЕХМЕД МУРАТ,13,27,72
Иван Енев Костадинов,14,27,118
Зейнел Фаик Селяйдин,15,27,111
Метин Ялзер Качан,16,27,27
Валентин Валентинов Георгиев,17,27,104
Хълмие Смаил Смаил,18,27,79
Сунай Селимов Селимов,19,27,57
Ахмед Абдула Мехмед,20,27,122
Ридван Байрям Иляз,21,27,139
Месут Илхан Юркюш,22,27,119
Джейхан Хасанов Ибрямов,1,28,415
Имрен Исметова Мехмедова,2,28,479
Сунай Кемалов Хасанов,3,28,279
Теодора Владимирова Маринова,4,28,252
Мирджан Салимова Алиева,5,28,152
Мариян Венциславов Бодев,6,28,145
Владислава Пламенова Петрова,7,28,100
Юнал Бехчетов Османов,8,28,111
Сезгин Юсеин Мехмед,1,29,282
Мюмюн Сали Мюмюн,2,29,629
Мехмед Лятиф Шакир,3,29,151
Серкант Сейхан Сейдамед,4,29,233
Йозджан Расим Мехмед,5,29,314
Ахмед Юксел Ахмед,6,29,75
Сание Рамадан Кязим,7,29,79
Мухлис Фариз Сербест,8,29,118
Севджан Керим Иляз,9,29,176
Гюнер Фариз Сербест,10,29,52
Иса Салихов Делиимамов,11,29,62
Емине Адем Юнуз,12,29,208
Росен Йосифов Атанасов,13,29,36
Мария Демирева Радева,14,29,105
Бахар Реджеб Хасан,15,29,69
Сейхан Садък Мюмюнали,16,29,49
Ерджан Себайтин Ебатин,1,3,429
Сали Мехмедов Табаков,2,3,203
Хюсни Осман Адем,3,3,207
Хълми Сейфиев Белев,4,3,359
Алисе Османова Хасанова,5,3,56
Рюян Невзатов Ризов,6,3,189
Сабри Мустафов Сабриев,7,3,597
Мерткан Аптулов Ибрямов,8,3,70
Сали Светославов Любенов,9,3,135
Васил Георгиев Алексиев,10,3,133
Айше Мехмед Кадир,11,3,209
Адиле Сабриева Кямил,12,3,291
Тургут Исмет Мехмед,13,3,46
Месут Ердинч Рушид,14,3,75
Хабил Билгинов Хабилов,15,3,296
