name,cand_number_norm,mir,pref_votes
Иван Йосифов Кюркчиев,13,19,59
Анета Симеонова Сачкова-Карагьозова,14,19,64
Георги Николаев Кръстев,15,19,194
Мирослав Йорданов Залев,16,19,142
Любен Любенов Дилов,1,2,3379
Ивелина Веселинова Василева,2,2,1886
Деница Пламенова Николова,3,2,760
Димитър Бойчев Петров,4,2,1590
Галя Стоянова Желязкова,5,2,972
Жечо Дончев Станков,6,2,3055
Севдалина Христова Ту��манова,7,2,699
Веселин Матеев Пренеров,8,2,674
Ася Атанасова Пеева,9,2,973
Румен Динев Желев,10,2,1249
Драгомир Желчев Стефанов,11,2,615
Иван Георгиев Гаврилов,12,2,234
Иван Стефанов Вълков,13,2,1874
Вежди Кемал Орманов,14,2,1028
Огнян Христов Станков,15,2,486
Пеньо Николов Мечков,16,2,340
Андрей Стоянов Рунчев,17,2,271
Атанас Паскалев Тодоров,18,2,270
Борислав Красимиров Киров,19,2,76
Диян Вълков Димов,20,2,178
Ивайло Стоянов Иванов,21,2,73
Красимир Недков Енчев,22,2,88
Радослав Иванов Балтаджиев,23,2,685
Стефана Любенова Караджова,24,2,265
Николай Иванов Иванов,25,2,1017
Тодор Михайлов Михалев,26,2,161
Венелин Рашев Радев,27,2,253
Диян Иванов Петров,28,2,1544
Тодор Стаматов Тодоров,1,20,2600
Ивелин Статев Иванов,2,20,563
Тошко Йотов Цаков,3,20,358
Петър Тодоров Георгиев,4,20,539
Нефие Хюсеин Раим,5,20,251
Йордан Милков Йорданов,6,20,170
Еда Бехчет Самиева,7,20,159
Иван Викторов Павлов,8,20,182
ДЕСИСЛАВА ЖЕКОВА ТАНЕВА,1,21,1152
МАРИЯ ЩЕРЕВА БЕЛОВА,2,21,3413
ГАЛЯ ЕНЕВА ЗАХАРИЕВА,3,21,2129
ПЛАМЕН КРУМОВ СТОЯНОВ,4,21,2293
НАТАЛИЯ СТАНИМИРОВА КАНЕВА,5,21,228
ГЕОРГИ СТОЯНОВ ДАСКАЛОВ,6,21,127
ДЕЯН АТАНАСОВ МИТЕВ,7,21,174
СЛАВЯН ХРИСТОВ ТЪМНЕВ,8,21,663
МИЛЕНА ПЕТКОВА ГОЧЕВА,9,21,112
ДИМИТЪР ТОДОРОВ ВЕЛИКОВ,10,21,86
БОРИС ГЕОРГИЕВ ШЕЙТАНОВ,11,21,168
ДАНИЕЛА НАЧКОВА ВАСИЛЕВА,12,21,197
Даниела Анастасова Дариткова-Проданова,1,22,1715
Недялко Живков Славов,2,22,1967
Красимир Митков Събев,3,22,2696
Владимир Мичев Солаков,4,22,587
Екатерина Димитрова Гаджева,5,22,642
Мария Василева Семерджиева,6,22,637
Денислав Емилов Костов,7,22,602
Иван Лазаров Кънев,8,22,259
Румен Димитров Христов,1,23,3776
Александър Руменов Ненков,2,23,768
Димитър Борисов Главчев,3,23,960
Милена Цветанова Дамянова,4,23,446
Александър Койчев Иванов,5,23,309
Ваня Лазарова Тагарева,6,23,524
Мария Йорданова Илиева,7,23,366
Калин Любенов Вельов,8,23,712
Атанас Андонов Бояджиев,9,23,258
Данаил Димитров Кирилов,10,23,157
Николай Дончев Козарев,11,23,235
Ваня Стоянова Деянова,12,23,161
Лиляна Друмева Радева,13,23,213
Виктор Николаев Гусев,14,23,780
Пламен Огнянов Църноречки,15,23,153
Светослав Димитров Белемезов,16,23,111
Кристиян Руменов Маджуров,17,23,296
Антоний Венциславов Кръстев,18,23,119
Павел Михайлов Савов,19,23,50
Теодора Маринова Ангелова,20,23,93
Димо Красимиров Василев,21,23,76
Васил Благовестов Михов,22,23,83
Лилия Атанасова Борисова,23,23,98
Живко Динев Дервенов,24,23,53
Веселин Тодоров Ковачев,25,23,46
Анна Първанова Манчева-Димова,26,23,91
Светослав Емилов Казаков,27,23,76
Христо Михалев Христов,28,23,274
Татяна Георгиева Предова,29,23,38
Здравко Кирилов Марков,30,23,51
Борис Димитров Малиновски,31,23,40
Ирина Славчева Вълчовска-Петкова,32,23,127
Росен Димитров Желязков,1,24,2536
Тома Любомиров Биков,2,24,1401
Евгения Бисерова Алексиева,3,24,308
Георг Даниелов Георгиев,4,24,410
Ана Иванова Кочева,5,24,233
Валентин Иванов Радев,6,24,746
Зоран Александров Рангелов,7,24,162
Таня Кирилова Методиева-Михайлова,8,24,338
Анатоли Благоев Илиев,9,24,101
Христо Стоянов Петров,10,24,148
Анжела Иванова Димчева,11,24,218
Борислав Иванов Борисов,12,24,454
Данчо Данчев Данчев,13,24,174
Маргарита Драгомирова Александрова-Манова,14,24,175
Десислава Емилова Абрашева,15,24,109
Драгомир Христов Младенов,16,24,162
Анжела Миткова Христова,17,24,111
Албена Тодорова Марковска,18,24,150
Лилия Иванова Недкова,19,24,167
Антоанета Димитрова Кирова,20,24,131
Даниел Василев Костов,21,24,67
Теодорина Кирилова Тодорова,22,24,627
Мартин Албенов Атанасов,23,24,58
Антон Господинов Койчев,24,24,435
Бойко Методиев Борисов,1,25,7219
Даниел Павлов Митов,2,25,394
Анна Василева Александрова,3,25,327
Лъчезар Богомилов Иванов,4,25,197
Христо Георгиев Гаджев,5,25,156
Красимир Георгиев Ципов,6,25,264
Евгени Генчев Будинов,7,25,343
Анелия Живкова Георгиева,8,25,320
Светослав Величков Тодоров,9,25,483
Станимир Стоянов Попов,10,25,68
Илиян Кирилов Дуков,11,25,207
Атанас Петров Мишев,12,25,96
Людмил Димитров Асенов,13,25,143
Николай Петров Павлов,14,25,107
Пламен Любенов Юруков,15,25,397
Николай Асенов Димитров,16,25,197
Мариян Огнянов Кирянов,17,25,78
Цвета Ангелова Точева,18,25,284
Костадин Грозев Костадинов,19,25,102
Мериан Руменов�� Конярска,20,25,55
Стефан Антонов Арсов,21,25,131
Антоанета Славчева Христова,22,25,174
Радост Андреева Маринкова,23,25,105
Цвете Василева Лазарова,24,25,78
Соня Кръстанова Костадинова,25,25,110
Лава Трифонова Коцева,26,25,70
Диана Михова Фотева,27,25,49
Теодор Данчов Дончев,28,25,428
Младен Найденов Маринов,1,26,3266
Николина Панайотова Ангелкова,2,26,3918
Васил Цветков Цветков,3,26,1196
Марин Василев Маринов,4,26,3012
Валентин Мирчов Милушев,5,26,4199
Иван Георгиев Янкулов,6,26,1466
Красимир Душков Дебеляшки,7,26,774
Дамян Русинов Маринов,8,26,1819
Светлана Маринова Трендафилова,9,26,350
Юлиян Атанасов Леков,10,26,834
Марио Антониев Спасов,11,26,335
Анна Петрова Нейкова - Райкова,12,26,503
Цветан Емилов Сичанов,13,26,373
Богомил Методиев Богомилов,14,26,338
Александър Димитров Боев,15,26,892
Николай Тодоров Николов,16,26,1307
Красимир Георгиев Вълчев,1,27,3425
Маноил Минчев Манев,2,27,895
Илиана Петкова Жекова,3,27,1801
Лъчезар Димитров Борисов,4,27,338
Радостин Радославов Танев,5,27,838
Тодор Петков Иванов,6,27,376
Мартин Паскалев Паскалев,7,27,216
Динко Танев Михайлов,8,27,735
Живко Бончев Желев,9,27,615
Роман Алексеев Желев,10,27,348
Бояна Тихомирова Танева,11,27,378
Никола Илиев Николов,12,27,499
Петко Христов Минчев,13,27,332
Мария Павлова Гинева,14,27,280
Милен Динков Димитров,15,27,167
Петя Кръстева Чакърова,16,27,230
Анелия Асенова Асенова,17,27,266
Димо Колев Димитров,18,27,235
Катерина Иванова Йотова,19,27,132
Димитър Маринов Стаматов,20,27,235
Александър Красимиров Кьосев,21,27,999
Тодор Димитров Тодоров,22,27,882
Теменужка Петрова Петкова,1,28,687
Гергана Руменова Цонева,2,28,689
Митко Стайков Стайков,3,28,1726
Явор Димитров Александров,4,28,410
Димитър Кънев Димитров,5,28,329
Анета Иванова Куманова,6,28,147
Седат Фехимов Мехмедов,7,28,154
Анелия Станчева Цонева,8,28,165
Делян Александров Добрев,1,29,1338
Георги Тенев Станков,2,29,13828
Гергана Стефанова Кръстева,3,29,2822
��вгения Даниелова Ангелова,4,29,448
Сашо Тодоров Савов,5,29,3873
Стефан Димитров Димитров,6,29,3755
Делян Димчев Делчев,7,29,2447
Митко Костадинов Полихронов,8,29,1325
Димитър Ангелов Ермов,9,29,537
Стефка Здравкова Стефанова,10,29,374
Борис Христов Борисов,11,29,1000
Нанко Атанасов Нанев,12,29,195
Гергана Илиева Петрова,13,29,124
Снежана Недялкова Михайлова,14,29,54
Борислав�� Генчева Костова,15,29,134
Теодоринка Илиева Иванова,16,29,219
Костадин Георгиев Ангелов,1,3,5395
Страцимир Илков Павлов,2,3,539
Таня Тодорова Петрова,3,3,639
Красен Кирилов Кралев,4,3,1848
Павел Алексеев Христов,5,3,1042
Владимир Славчев Вълев,6,3,319
Бранимир Николаев Балачев,7,3,371
Мартин Петров Андонов,8,3,999
Юлияна Атанасова Боева,9,3,709
Желез Николов Железов,10,3,722
Жечка Добрева Георгиева,11,3,487
Мирослав Боянов Георгиев,12,3,869
Ирина Тодорова Делчева,13,3,535
Димитър Стоянов Тодоров,14,3,762
Владимир Димитров Ненков,15,3,2021
Димитър Ефтимов Анастасов,16,3,950
Гюлейдин Исмаил Кязим,17,3,408
Ивайло Илиев Илиев,18,3,444
Станислав Димитров Йорданов,19,3,661
Станислав Георгиев Иванов,20,3,151
Николай Георгиев Няголов,21,3,450
Лиляна Димитрова Лазарова-Янева,22,3,109
Кристиан Антонов Димитров,23,3,906
Минко Нейков Христов,24,3,141
Славена Димитрова Точева,25,3,6803
Невена Любомирова Иванова,26,3,253
Николай Стоянов Малев,27,3,74
Нелия Жекова Жекова,28,3,655
